qid,docid,docno,rank,score,query
Q1,961,2042335225028686131,77,4.6226910148720926,Hormuz strait Iran
Q1,1274,2045123028720201844,78,4.6226910148720926,Hormuz strait Iran
Q1,1300,2045132211179999466,79,4.6226910148720926,Hormuz strait Iran
Q1,213,2015337785000153258,80,4.620306422511556,Hormuz strait Iran
Q1,2187,2048862167915503949,81,4.614528254250615,Hormuz strait Iran
Q1,1282,2045127314644586980,82,4.591597454390868,Hormuz strait Iran
Q1,1342,2045152846224527367,83,4.561701150891865,Hormuz strait Iran
Q1,391,2033152984365027591,84,4.5545939301960985,Hormuz strait Iran
Q1,1250,2044861252694880383,85,4.50804024561733,Hormuz strait Iran
Q1,1273,2045122877951742189,86,4.50804024561733,Hormuz strait Iran
Q1,1313,2045135231745728916,87,4.50804024561733,Hormuz strait Iran
Q1,1072,2043325641043452383,88,4.502299680145308,Hormuz strait Iran
Q1,1288,2045128754284933479,89,4.502299680145308,Hormuz strait Iran
Q1,1291,2045129276693815685,90,4.502299680145308,Hormuz strait Iran
Q1,1292,2045129299213029421,91,4.502299680145308,Hormuz strait Iran
Q1,1312,2045134999033147649,92,4.502299680145308,Hormuz strait Iran
Q1,1364,2045178678900912274,93,4.502299680145308,Hormuz strait Iran
Q1,1310,2045134651967132147,94,4.479935228438967,Hormuz strait Iran
Q1,839,2041722499772354737,95,4.4747279970802225,Hormuz strait Iran
Q1,1311,2045134774482977107,96,4.456655388961435,Hormuz strait Iran
Q1,1307,2045133425154076920,97,4.454635119100061,Hormuz strait Iran
Q1,1297,2045131418703986876,98,4.44442534913823,Hormuz strait Iran
Q1,1374,2045181003488969080,99,4.44442534913823,Hormuz strait Iran
Q2,1178,2044297122573328670,0,7.561023111991279,revolutionary guard Iran
Q2,1378,2045182794498728129,1,7.108229374779395,revolutionary guard Iran
Q2,730,2041253672819343467,2,7.003379595419044,revolutionary guard Iran
Q2,1050,2043230105628295174,3,6.901578022239988,revolutionary guard Iran
Q2,757,2041467362700841228,4,6.829581470831914,revolutionary guard Iran
Q2,225,2017133169082863969,5,6.747979138333259,revolutionary guard Iran
Q2,700,2041131308701700320,6,6.725746264192834,revolutionary guard Iran
Q2,854,2041832001406173449,7,6.575854525621023,revolutionary guard Iran
Q2,697,2041124056456458278,8,6.522341340720969,revolutionary guard Iran
Q2,1064,2043290769583206582,9,6.522341340720969,revolutionary guard Iran
Q2,2269,2048869798981845261,10,6.4719073316572935,revolutionary guard Iran
Q2,1038,2043157123522244731,11,6.43395604207717,revolutionary guard Iran
Q2,1042,2043168734316273888,12,6.43395604207717,revolutionary guard Iran
Q2,1055,2043249111991034293,13,6.43395604207717,revolutionary guard Iran
Q2,1140,2043820435490451862,14,6.406597121575742,revolutionary guard Iran
Q2,627,2040380146545303725,15,6.367982901195896,revolutionary guard Iran
Q2,667,2040843878840811547,16,6.182611353565507,revolutionary guard Iran
Q2,2046,2048376992060293546,17,6.10313763538049,revolutionary guard Iran
Q2,686,2041063308657049979,18,6.025681159634621,revolutionary guard Iran
Q2,759,2041470318363984127,19,6.025681159634621,revolutionary guard Iran
Q2,685,2041059796082630768,20,5.950166084837301,revolutionary guard Iran
Q2,758,2041468338421846139,21,5.950166084837301,revolutionary guard Iran
Q2,912,2042026005116723241,22,5.950166084837301,revolutionary guard Iran
Q2,1025,2043073140511674714,23,5.950166084837301,revolutionary guard Iran
Q2,2250,2048868436340879402,24,5.950166084837301,revolutionary guard Iran
Q2,1164,2044098266221117610,25,5.918231111475907,revolutionary guard Iran
Q2,1163,2044089922982649980,26,5.897331606205751,revolutionary guard Iran
Q2,890,2041922607675494476,27,5.876520324286741,revolutionary guard Iran
Q2,675,2040961337115681159,28,5.804675316543961,revolutionary guard Iran
Q2,855,2041832394496307541,29,5.804675316543961,revolutionary guard Iran
Q2,650,2040681122493862295,30,5.766575731079069,revolutionary guard Iran
Q2,684,2041057560120164829,31,5.742223688213479,revolutionary guard Iran
Q2,1316,2045139247947227189,32,5.677634400767882,revolutionary guard Iran
Q2,226,2017161637883486218,33,5.666129677928557,revolutionary guard Iran
Q2,1081,2043367716011016347,34,5.666129677928557,revolutionary guard Iran
Q2,1267,2045076329758871681,35,5.666129677928557,revolutionary guard Iran
Q2,696,2041122180629410079,36,5.6017245289068995,revolutionary guard Iran
Q2,987,2042624023540973721,37,5.599307709420276,revolutionary guard Iran
Q2,1134,2043772436248965407,38,5.599307709420276,revolutionary guard Iran
